Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
Toyota,Yaris,1.0,Hybrid,1997,80400,4326
Ford,Mondeo,1.8,Diesel,2010,64195,16721
BMW,Z4,2.4,Petrol,2011,90716,18260
Toyota,Yaris,1.2,Petrol,2000,157676,2672
VW,Golf,1.2,Petrol,1996,229699,1148
VW,Polo,1.2,Petrol,2007,70176,7309
Toyota,RAV4,2.2,Hybrid,2007,71203,20332
VW,Polo,1.6,Petrol,2018,30704,22472
BMW,M5,4.0,Petrol,2010,111815,34064
Toyota,Prius,1.4,Hybrid,2000,162559,4323
Toyota,Prius,1.0,Hybrid,2003,75534,8675
Toyota,RAV4,2.4,Hybrid,1999,130769,8057
Toyota,Prius,1.0,Hybrid,2013,68096,17763
VW,Passat,1.4,Diesel,2008,107569,10057
Ford,Focus,1.4,Petrol,2019,22942,33173
Ford,Focus,1.4,Petrol,2000,143775,4049
VW,Passat,2.0,Diesel,2002,96900,8715
BMW,X3,2.0,Diesel,2022,6817,64258
Ford,Mondeo,2.0,Diesel,1995,102051,4982
Ford,Mondeo,1.4,Diesel,2012,68468,16381
Ford,Focus,1.8,Petrol,2007,82390,11636
VW,Polo,1.2,Petrol,2010,87443,7928
BMW,M5,4.0,Petrol,2000,52996,26304
Ford,Mondeo,2.0,Petrol,2005,201745,4094
Toyota,Yaris,1.4,Petrol,2005,100356,6309
Toyota,Prius,1.4,Hybrid,2014,66419,22718
BMW,M5,5.0,Petrol,2008,71822,44348
BMW,Z4,2.2,Petrol,1995,122472,4751
Ford,Fiesta,1.0,Petrol,2012,73270,8886
Toyota,Yaris,1.0,Hybrid,2017,33394,22153
VW,Golf,1.4,Petrol,1990,249779,691
VW,Passat,2.0,Petrol,2019,24090,41242
Toyota,Prius,1.8,Hybrid,2018,40017,39717
VW,Polo,1.2,Petrol,2004,129374,3886
Ford,Fiesta,1.2,Petrol,1989,163299,1057
Toyota,RAV4,2.0,Hybrid,2013,66104,29919
Toyota,RAV4,2.2,Hybrid,2018,31008,54416
VW,Passat,1.4,Petrol,2017,28956,29378
VW,Passat,1.6,Petrol,2015,56136,23321
VW,Polo,1.4,Petrol,2007,102105,6308
VW,Passat,1.8,Diesel,2006,90007,11342
VW,Polo,1.6,Petrol,2019,2906,27926
VW,Passat,1.6,Diesel,2013,64612,20287
BMW,X3,2.0,Diesel,2009,74606,17990
VW,Polo,1.4,Petrol,2018,28234,21320
Toyota,RAV4,2.2,Petrol,1996,196384,3042
Toyota,Prius,1.0,Hybrid,2003,79251,8457
VW,Polo,1.4,Petrol,1993,195266,1164
Ford,Fiesta,1.4,Petrol,1994,89502,2830
Ford,Mondeo,1.6,Diesel,2000,175216,3468
VW,Golf,1.6,Petrol,1999,105013,4595
Toyota,Yaris,1.0,Petrol,2003,99734,4687
VW,Passat,1.4,Diesel,2010,42634,17848
Ford,Mondeo,2.0,Diesel,2010,49431,19367
BMW,M5,5.0,Petrol,1997,160217,10896
Toyota,Yaris,1.2,Hybrid,2010,72023,11937
VW,Golf,1.8,Petrol,2022,11142,41142
Ford,Mondeo,1.8,Diesel,2001,102040,7051
Toyota,Prius,1.4,Hybrid,2002,140413,5923
BMW,M5,5.0,Petrol,2004,108523,26167
BMW,Z4,2.0,Petrol,2004,126679,7989
VW,Passat,2.0,Diesel,2012,78692,19304
Toyota,RAV4,2.4,Hybrid,1990,104066,5422
Ford,Focus,1.4,Diesel,2006,121658,7555
Toyota,Prius,1.8,Hybrid,2004,68515,13043
Toyota,Yaris,1.4,Petrol,2005,70436,7781
VW,Polo,1.6,Petrol,2003,94304,5467
Toyota,Prius,1.8,Hybrid,2020,20147,50870
Ford,Fiesta,1.0,Petrol,2005,26157,7467
Ford,Mondeo,2.0,Diesel,1993,111103,4076
Ford,Focus,1.0,Diesel,2007,100145,8023
BMW,M5,4.0,Petrol,2010,39548,55641
Ford,Mondeo,1.8,Petrol,2019,31813,35440
VW,Polo,1.0,Petrol,2008,102538,5681
BMW,M5,4.4,Petrol,2013,77781,55759
Porsche,Cayenne,3.0,Diesel,2019,11768,85619
Toyota,Prius,1.4,Hybrid,2003,142049,6248
Toyota,Yaris,1.0,Hybrid,2022,8324,35505
VW,Passat,1.6,Diesel,1996,193751,2391
VW,Polo,1.0,Petrol,1992,120566,1706
VW,Passat,1.4,Petrol,2012,76879,15574
VW,Passat,1.8,Diesel,2000,105645,6786
Ford,Focus,1.8,Petrol,2002,97200,7505
Porsche,Cayenne,2.6,Diesel,2014,50293,45734
Toyota,RAV4,1.8,Hybrid,2014,63234,30917
BMW,Z4,2.2,Petrol,2011,95125,16938
Ford,Fiesta,1.2,Petrol,2010,142500,5088
VW,Passat,1.8,Diesel,1992,123977,3464
Toyota,Prius,1.4,Hybrid,2003,80465,9923
Ford,Fiesta,1.0,Petrol,2001,158088,2244
Toyota,RAV4,2.4,Hybrid,1995,91826,8271
Toyota,RAV4,2.2,Hybrid,2018,16076,59149
Toyota,RAV4,1.8,Hybrid,2021,15456,65566
Toyota,RAV4,1.8,Hybrid,2004,108215,11578
VW,Polo,1.2,Petrol,1994,146159,1744
VW,Golf,1.2,Diesel,2012,64831,13169
Toyota,Prius,1.8,Hybrid,1998,192794,3312
Porsche,718 Cayman,4.0,Petrol,1996,49873,13778
Ford,Mondeo,1.8,Diesel,1989,144561,2280
VW,Polo,1.4,Petrol,1991,201815,961
VW,Golf,1.6,Petrol,2013,63358,15631
Toyota,Prius,1.4,Hybrid,2001,140281,5546
BMW,M5,5.0,Petrol,2021,10362,152603
VW,Golf,1.8,Petrol,2016,3500,28693
Toyota,Yaris,1.2,Petrol,2006,114157,5633
VW,Passat,1.6,Diesel,2010,75391,15456
VW,Golf,1.8,Petrol,2003,118136,5764
VW,Polo,1.4,Petrol,2004,134409,4034
VW,Golf,1.2,Diesel,2007,64938,9429
Toyota,Prius,1.8,Hybrid,1988,260685,920
Toyota,Yaris,1.0,Petrol,2015,77618,12201
BMW,Z4,2.0,Petrol,2010,75484,17339
VW,Passat,1.4,Diesel,1991,183471,1752
VW,Golf,1.4,Petrol,2019,18155,28610
BMW,M5,4.0,Petrol,1984,224163,2347
Toyota,RAV4,2.0,Petrol,1996,244528,1880
VW,Passat,1.6,Diesel,2008,157437,7254
Ford,Fiesta,1.2,Petrol,2015,55776,13335
Toyota,Yaris,1.0,Petrol,2004,45340,7225
Toyota,RAV4,2.2,Hybrid,1987,228133,1509
Ford,Mondeo,1.4,Diesel,2009,53047,14820
VW,Passat,1.6,Diesel,2002,102312,7493
VW,Polo,2.0,Petrol,2020,14742,31375
Toyota,Prius,1.8,Hybrid,2002,44162,13331
VW,Polo,1.0,Petrol,2009,64296,7926
Toyota,RAV4,2.0,Petrol,1991,124544,3775
Toyota,RAV4,1.8,Hybrid,1995,228983,2309
BMW,M5,4.0,Petrol,1998,138235,12465
Toyota,Prius,1.0,Hybrid,1997,211347,1961
Ford,Fiesta,1.0,Diesel,2005,82598,5488
Ford,Mondeo,1.8,Diesel,2000,55122,9102
Toyota,Prius,1.0,Hybrid,2004,44254,11347
Ford,Fiesta,1.2,Petrol,2008,65566,7849
VW,Passat,1.8,Diesel,2016,21660,34094
VW,Golf,2.0,Diesel,2010,52793,16076
VW,Polo,1.0,Petrol,2016,46305,14169
Toyota,Yaris,1.0,Petrol,2017,25905,19271
VW,Polo,1.4,Petrol,1999,200324,1661
Porsche,Cayenne,4.0,Diesel,2012,61659,46181
VW,Passat,1.6,Petrol,2006,75147,11293
Ford,Fiesta,1.0,Petrol,2005,184794,2336
Toyota,Yaris,1.2,Petrol,2016,46037,17541
Ford,Focus,2.0,Petrol,2000,164864,4068
Ford,Focus,1.6,Diesel,2006,54282,12989
Toyota,Prius,1.0,Hybrid,1998,132732,4076
Toyota,Prius,1.4,Hybrid,1997,180765,3033
Ford,Mondeo,1.8,Diesel,2011,58837,18506
Ford,Focus,2.0,Diesel,2015,52816,26707
Ford,Mondeo,1.6,Diesel,2000,179040,3357
VW,Golf,2.0,Petrol,1989,222182,995
Toyota,RAV4,1.8,Hybrid,1993,267705,1413
VW,Passat,1.4,Diesel,2018,25629,33603
Toyota,RAV4,2.0,Hybrid,2004,132592,10118
VW,Golf,1.2,Diesel,2006,86844,7599
VW,Passat,1.6,Petrol,2009,86811,12723
Ford,Fiesta,1.2,Petrol,2020,7292,24629
Ford,Fiesta,1.0,Petrol,2018,30928,17288
Ford,Mondeo,1.6,Diesel,2005,83093,9941
VW,Passat,2.0,Petrol,1998,145447,4375
VW,Polo,1.2,Diesel,2018,25239,21080
Ford,Mondeo,2.0,Diesel,1998,187602,3051
Porsche,718 Cayman,4.0,Petrol,1997,131378,8258
Ford,Fiesta,1.4,Petrol,1999,150950,2464
VW,Polo,2.0,Petrol,2016,36482,21260
Ford,Focus,1.4,Petrol,2016,42140,24295
Toyota,Prius,1.0,Hybrid,1993,88081,4082
Ford,Fiesta,1.2,Petrol,2000,156105,2337
Ford,Mondeo,1.4,Diesel,2000,119111,5117
VW,Polo,2.0,Petrol,2006,123345,6008
Ford,Mondeo,1.6,Diesel,2006,136864,7103
BMW,M5,5.0,Petrol,1995,93025,16087
BMW,X3,3.0,Diesel,2014,68283,32084
Porsche,718 Cayman,2.4,Petrol,2002,73371,13669
VW,Passat,1.8,Diesel,2016,58052,27425
Toyota,Yaris,1.4,Hybrid,2016,55287,21460
Toyota,RAV4,1.8,Hybrid,1989,153055,2994
VW,Golf,1.2,Petrol,2004,95124,5970
Toyota,RAV4,2.4,Petrol,1990,356165,477
Toyota,Prius,1.0,Hybrid,1998,180713,2741
Porsche,911,3.0,Petrol,2002,146354,15617
BMW,M5,5.0,Petrol,1985,188143,3860
Ford,Focus,1.8,Petrol,2003,117875,6877
Ford,Mondeo,1.8,Petrol,1989,121109,2613
Ford,Mondeo,1.4,Diesel,2010,117835,10065
VW,Passat,1.4,Diesel,2014,37933,23968
Ford,Fiesta,1.4,Petrol,2021,16134,27136
BMW,M5,5.0,Petrol,2018,40519,105426
Ford,Mondeo,1.4,Petrol,1991,142731,2221
Ford,Mondeo,1.4,Diesel,1997,82163,5490
BMW,X3,3.0,Diesel,2013,54602,32801
Ford,Focus,1.4,Petrol,2003,143213,4969
Toyota,Prius,1.0,Hybrid,2020,17211,38530
BMW,M5,5.0,Petrol,2018,24597,115638
VW,Golf,2.0,Petrol,1995,148726,2798
Ford,Focus,1.8,Diesel,1995,155932,3128
Ford,Mondeo,1.6,Diesel,2007,91589,10698
Ford,Mondeo,2.0,Diesel,1996,73778,6502
VW,Golf,1.2,Petrol,2012,82916,11097
Ford,Focus,1.0,Diesel,1993,201097,1386
VW,Golf,1.4,Diesel,2020,22323,31383
Toyota,Prius,1.8,Hybrid,1998,119049,6083
VW,Golf,1.2,Hybrid,1994,212263,1411
VW,Golf,2.0,Petrol,1988,349153,281
Porsche,911,3.5,Petrol,2011,96338,45176
VW,Golf,1.8,Petrol,2000,164060,3264
Ford,Focus,1.4,Diesel,2014,74085,18191
Ford,Fiesta,1.4,Petrol,2003,40949,7093
Porsche,718 Cayman,4.0,Petrol,1998,111592,10282
Toyota,RAV4,1.8,Hybrid,2013,26318,36226
BMW,X3,3.0,Petrol,1996,242942,2219
Ford,Mondeo,1.4,Diesel,2021,15757,41021
Toyota,Prius,1.0,Hybrid,1994,130034,3189
Ford,Focus,1.4,Diesel,1999,168534,3242
BMW,M5,5.0,Petrol,2005,119734,25693
Porsche,911,2.6,Petrol,2006,45317,39253
Toyota,Yaris,1.0,Hybrid,2013,70594,13438
VW,Passat,1.6,Diesel,2016,76624,22864
Toyota,Yaris,1.0,Petrol,1996,169868,1687
BMW,M5,5.0,Petrol,2012,53898,65080
Ford,Fiesta,1.4,Diesel,2010,88251,8711
Ford,Fiesta,1.4,Petrol,1996,168170,1748
Ford,Fiesta,1.2,Petrol,1997,154515,1939
VW,Passat,1.6,Diesel,2016,48492,27462
Ford,Fiesta,1.0,Petrol,1999,148127,2131
Ford,Focus,1.0,Diesel,1994,91110,3600
VW,Golf,1.4,Petrol,2018,35515,24257
VW,Passat,1.6,Petrol,2007,96792,10369
Ford,Fiesta,1.0,Petrol,2015,36326,13715
Ford,Fiesta,1.2,Diesel,1996,237104,925
VW,Golf,1.6,Petrol,2001,105182,5244
Toyota,Prius,1.4,Hybrid,2017,50108,30809
Ford,Fiesta,1.0,Petrol,2002,94738,3927
VW,Passat,1.4,Diesel,1998,71531,6668
Ford,Mondeo,1.6,Petrol,1992,187049,1750
VW,Polo,1.0,Petrol,2008,94935,6004
Toyota,RAV4,2.2,Hybrid,2007,114842,14873
VW,Golf,1.8,Hybrid,1992,138524,2832
BMW,Z4,2.0,Petrol,1999,153551,4614
Toyota,Yaris,1.2,Hybrid,1990,195168,1195
Ford,Focus,2.0,Diesel,2012,49957,22260
Toyota,Yaris,1.0,Petrol,2010,58421,9931
Toyota,RAV4,1.8,Petrol,2014,62835,25831
Toyota,RAV4,1.8,Hybrid,2017,43379,42795
Ford,Fiesta,1.2,Petrol,1990,236669,593
BMW,X3,3.0,Diesel,2009,89262,19903
VW,Passat,1.4,Diesel,1992,237502,1158
VW,Passat,1.8,Diesel,1986,340823,331
VW,Golf,2.0,Petrol,2020,30799,34050
Toyota,Prius,1.8,Hybrid,1998,129127,5626
Ford,Focus,1.4,Diesel,1993,233047,1231
Toyota,Yaris,1.4,Hybrid,1996,223436,1498
Ford,Focus,1.8,Petrol,2012,52294,19821
Ford,Focus,1.8,Petrol,1994,102035,4250
Ford,Fiesta,1.0,Petrol,2018,38592,16528
Ford,Focus,2.0,Diesel,2008,89377,13108
Toyota,RAV4,2.0,Petrol,1998,194693,3364
VW,Passat,1.6,Diesel,2002,10500,13425
Toyota,RAV4,1.8,Hybrid,2002,153527,7095
Toyota,RAV4,1.8,Hybrid,2001,145825,7069
Toyota,Prius,1.4,Hybrid,1991,267368,931
VW,Golf,1.6,Hybrid,1994,16548,6993
Toyota,Yaris,1.4,Hybrid,1994,190910,1749
Porsche,911,2.2,Petrol,2004,100154,21845
Ford,Mondeo,1.8,Diesel,2013,51098,22209
Toyota,Yaris,1.2,Petrol,2009,110572,7069
Ford,Fiesta,1.4,Petrol,1987,180724,862
Ford,Mondeo,1.6,Diesel,2020,11065,42065
Toyota,Yaris,1.4,Petrol,1998,129790,3164
VW,Polo,1.4,Diesel,1990,272442,495
VW,Golf,2.0,Diesel,2021,5284,43918
VW,Golf,1.8,Petrol,2015,73576,17700
VW,Passat,1.6,Diesel,1994,274403,1004
VW,Polo,2.0,Petrol,2022,5890,37558
Ford,Fiesta,1.4,Hybrid,1994,29947,4983
Toyota,Yaris,1.4,Petrol,2005,133172,4912
BMW,X3,3.0,Diesel,2017,14812,54064
Ford,Focus,1.0,Petrol,2004,184419,3180
Toyota,RAV4,1.8,Hybrid,2001,148804,6899
Ford,Fiesta,1.4,Petrol,2000,170422,2240
VW,Polo,1.2,Petrol,1998,165685,1938
Ford,Mondeo,2.0,Diesel,2015,29911,30375
Ford,Focus,1.0,Diesel,2000,206224,2113
BMW,Z4,2.4,Petrol,1998,241046,2198
Ford,Focus,1.6,Petrol,1995,200062,1926
BMW,Z4,2.0,Petrol,2003,110771,8443
Ford,Mondeo,1.6,Petrol,2000,103787,5847
Toyota,Prius,1.4,Hybrid,1997,145140,4085
Toyota,RAV4,2.0,Hybrid,2011,66347,26142
Toyota,Prius,1.4,Hybrid,1995,208476,2083
Toyota,Prius,1.0,Hybrid,1995,146657,2984
VW,Passat,1.6,Petrol,1991,223435,1253
VW,Golf,1.8,Petrol,1989,98019,2634
VW,Passat,1.4,Diesel,1986,243737,733
VW,Polo,2.0,Petrol,1992,93239,2958
Toyota,Prius,1.0,Hybrid,2017,22208,30691
BMW,M5,4.0,Petrol,2010,89352,40152
VW,Polo,1.0,Petrol,1994,246155,665
Ford,Focus,1.8,Hybrid,2015,44137,30554
Ford,Fiesta,1.2,Petrol,1994,237640,767
VW,Polo,1.0,Petrol,2000,203938,1453
VW,Golf,2.0,Hybrid,2001,209109,2988
Toyota,Prius,1.0,Hybrid,2011,81898,14155
VW,Polo,2.0,Petrol,2000,113399,4346
VW,Passat,1.6,Diesel,2010,96415,13334
BMW,M5,4.0,Petrol,2001,127091,16626
Toyota,Yaris,1.4,Petrol,1999,84124,4750
Toyota,Yaris,1.2,Petrol,2013,51990,13841
BMW,X3,2.4,Petrol,2014,71059,26829
VW,Polo,1.6,Petrol,2004,89691,6039
Toyota,RAV4,1.8,Hybrid,1997,189565,3746
Ford,Mondeo,2.0,Diesel,1990,173686,2017
VW,Polo,1.0,Petrol,2008,67376,7266
VW,Golf,1.2,Diesel,1991,310098,407
Ford,Fiesta,1.0,Petrol,2013,59481,10404
Toyota,RAV4,2.0,Hybrid,2017,26935,49681
Toyota,Yaris,1.4,Petrol,1994,193099,1430
BMW,M5,4.4,Petrol,2000,203545,8602
Porsche,Cayenne,3.5,Petrol,2020,16494,91796
BMW,M5,4.4,Petrol,1995,283549,2957
Ford,Mondeo,1.8,Diesel,2016,17406,33032
Toyota,RAV4,1.8,Hybrid,2018,25916,50672
Ford,Focus,1.0,Petrol,1991,225175,931
VW,Polo,1.6,Petrol,2016,46551,17896
Ford,Focus,1.8,Petrol,1999,164687,3616
Toyota,Prius,1.8,Hybrid,1995,197260,2608
BMW,X3,2.4,Diesel,2014,52670,31746
BMW,X3,2.0,Petrol,2010,93752,16022
Toyota,RAV4,2.0,Hybrid,2011,38945,31055
Ford,Focus,2.0,Diesel,2017,15111,38031
Ford,Fiesta,1.0,Petrol,2012,64561,9417
VW,Golf,1.8,Petrol,2008,121367,7848
Toyota,Yaris,1.0,Petrol,1990,100509,1959
VW,Passat,1.6,Diesel,1997,145828,3832
VW,Golf,1.4,Petrol,2010,50003,13035
VW,Golf,1.8,Petrol,2010,13610,18246
Ford,Focus,1.6,Petrol,1990,215760,1200
VW,Passat,1.4,Diesel,2009,85517,12611
VW,Golf,1.8,Diesel,2019,20551,33618
Toyota,Yaris,1.0,Hybrid,1998,130171,3199
VW,Polo,1.2,Petrol,1994,120116,2144
Ford,Focus,1.4,Hybrid,2000,194138,3178
BMW,M5,4.0,Petrol,2021,5942,139668
Toyota,RAV4,2.4,Hybrid,2016,29838,50077
Porsche,911,2.2,Petrol,1998,117691,12842
Ford,Fiesta,1.2,Petrol,2009,51241,9198
Ford,Mondeo,1.8,Diesel,2009,114164,10979
Toyota,Prius,1.0,Hybrid,2002,141226,4973
Toyota,RAV4,2.2,Hybrid,2003,111704,11665
Porsche,911,3.0,Petrol,2020,13932,128366
VW,Golf,1.6,Petrol,1993,215360,1235
Ford,Fiesta,1.4,Petrol,1991,169741,1236
Toyota,RAV4,1.8,Hybrid,2005,41313,19470
Ford,Fiesta,1.4,Petrol,2005,109734,5083
Ford,Fiesta,1.4,Petrol,2013,34149,14385
VW,Passat,1.8,Diesel,1995,175397,2781
Ford,Mondeo,2.0,Diesel,2017,70825,26899
VW,Golf,1.4,Petrol,2008,46793,11637
VW,Polo,1.2,Petrol,2016,52031,14980
Ford,Mondeo,1.8,Hybrid,1996,156529,3768
Toyota,Yaris,1.2,Hybrid,2017,13945,27054
Toyota,RAV4,2.4,Hybrid,2007,156258,11179
Toyota,Prius,1.8,Hybrid,2014,46348,29274
BMW,Z4,2.0,Petrol,1993,171825,2655
Ford,Focus,1.4,Diesel,1998,157703,3320
Ford,Focus,2.0,Diesel,2005,111418,9133
BMW,X3,3.0,Diesel,2018,35591,51415
VW,Passat,1.6,Diesel,1994,239463,1389
VW,Polo,1.6,Diesel,2021,11746,32004
Ford,Focus,1.6,Petrol,1987,213563,1002
Ford,Fiesta,1.0,Hybrid,2005,156279,3569
VW,Passat,1.6,Diesel,1987,130720,2220
Toyota,Prius,1.4,Hybrid,2013,58233,22416
BMW,M5,4.4,Petrol,2011,89361,45012
BMW,Z4,2.0,Petrol,1994,125311,4145
VW,Polo,1.4,Petrol,2007,76103,7585
VW,Passat,2.0,Diesel,2017,68770,28811
Ford,Fiesta,1.4,Petrol,1987,113921,1483
VW,Golf,1.4,Petrol,2005,97511,6775
Ford,Mondeo,2.0,Diesel,2015,71351,23458
Ford,Focus,2.0,Diesel,2011,71093,18164
VW,Passat,1.4,Diesel,1999,161124,3611
Ford,Mondeo,1.6,Diesel,1988,234460,922
Porsche,Cayenne,2.6,Diesel,1985,179965,2491
VW,Polo,1.4,Petrol,1989,222966,696
Ford,Fiesta,1.4,Petrol,2018,23804,21300
Toyota,Prius,1.8,Hybrid,2018,21915,44087
Toyota,Yaris,1.2,Petrol,2001,73135,5418
Ford,Focus,2.0,Petrol,1999,115374,5659
VW,Passat,1.6,Diesel,2006,115697,8850
VW,Golf,1.8,Petrol,2002,108600,5796
Toyota,RAV4,2.2,Hybrid,2002,43367,17406
Toyota,RAV4,2.2,Petrol,2015,65235,30051
Ford,Fiesta,1.4,Petrol,2015,63166,13734
Ford,Fiesta,1.0,Petrol,2022,2156,26374
Toyota,RAV4,1.8,Hybrid,1995,132185,5285
Ford,Focus,1.0,Diesel,2018,27747,26805
Ford,Mondeo,2.0,Diesel,2017,46661,31418
Toyota,Yaris,1.2,Hybrid,1990,170845,1474
Ford,Fiesta,1.0,Petrol,2005,86652,5081
Toyota,Prius,1.0,Hybrid,2000,236880,1901
Toyota,Prius,1.8,Hybrid,2019,19029,47882
BMW,Z4,2.4,Petrol,1997,179577,3554
BMW,X3,3.0,Diesel,2009,75307,21929
VW,Passat,2.0,Diesel,2008,27318,20424
Toyota,RAV4,2.2,Petrol,1999,195322,3750
Toyota,Prius,1.8,Hybrid,1991,180972,2301
Ford,Focus,2.0,Petrol,1995,149619,3307
BMW,X3,2.4,Diesel,2010,28828,28057
VW,Golf,1.6,Diesel,2010,108340,9800
Toyota,RAV4,2.4,Hybrid,2008,99124,18667
VW,Polo,1.0,Petrol,2009,120971,5285
VW,Golf,1.4,Petrol,2003,127439,4731
Ford,Fiesta,1.4,Petrol,2020,14741,25577
VW,Golf,1.6,Petrol,2011,75345,12629
Toyota,RAV4,1.8,Petrol,1997,177968,3450
Ford,Fiesta,1.2,Petrol,1991,101140,1972
Ford,Focus,1.4,Petrol,2020,6515,38729
Ford,Fiesta,1.0,Petrol,2017,52503,14201
Ford,Fiesta,1.0,Petrol,2003,155563,2618
Ford,Focus,2.0,Diesel,2004,57712,12435
Ford,Mondeo,1.4,Petrol,2011,80171,13482
Toyota,Prius,1.4,Hybrid,2020,15911,45911
Toyota,RAV4,1.8,Hybrid,2017,45584,42224
VW,Polo,1.0,Petrol,2008,109619,5390
Ford,Fiesta,1.0,Diesel,2002,179510,2102
Toyota,Yaris,1.4,Hybrid,2010,60400,13922
Toyota,RAV4,1.8,Hybrid,1997,195440,3559
VW,Golf,2.0,Petrol,2016,16537,28244
VW,Golf,2.0,Diesel,2004,99523,7839
BMW,Z4,2.4,Petrol,2018,36043,41601
Toyota,RAV4,2.2,Hybrid,2015,36047,43262
Toyota,Prius,1.0,Hybrid,2016,22467,28671
VW,Golf,1.4,Diesel,1987,74866,2512
BMW,X3,2.4,Diesel,1989,219248,1621
VW,Passat,1.6,Diesel,2004,148413,5983
BMW,Z4,2.0,Petrol,2008,121566,10853
VW,Golf,1.8,Hybrid,2011,56781,18167
BMW,Z4,2.4,Petrol,1992,203806,2062
Toyota,Prius,1.4,Hybrid,2007,116169,9993
BMW,X3,2.0,Diesel,1994,135416,4221
Toyota,RAV4,1.8,Hybrid,1993,261064,1504
VW,Polo,1.6,Petrol,1998,88758,4075
VW,Golf,2.0,Petrol,1989,318196,405
Toyota,RAV4,1.8,Hybrid,1994,127153,5143
Ford,Mondeo,1.6,Diesel,2009,70130,14180
VW,Passat,2.0,Diesel,2006,158950,7009
Toyota,Prius,1.4,Hybrid,1991,405205,246
Ford,Fiesta,1.2,Petrol,2017,38471,16950
Toyota,Prius,1.0,Hybrid,2005,108949,7805
Ford,Mondeo,1.8,Diesel,1993,318549,620
BMW,M5,4.0,Petrol,1999,62517,23152
Toyota,RAV4,2.0,Hybrid,2009,126502,14813
BMW,M5,4.4,Petrol,2010,66953,49105
VW,Golf,1.2,Diesel,2015,23944,20631
VW,Passat,1.6,Diesel,1998,109194,5453
VW,Golf,1.2,Diesel,1988,280294,442
Toyota,Prius,1.4,Hybrid,2003,102439,8483
Toyota,Yaris,1.0,Petrol,2016,9964,19663
Ford,Mondeo,1.8,Diesel,2004,99998,8742
Porsche,718 Cayman,2.0,Petrol,1996,263883,1719
Toyota,Yaris,1.4,Hybrid,1988,170580,1396
Porsche,718 Cayman,2.0,Petrol,2017,24985,45787
VW,Passat,2.0,Diesel,1992,240634,1345
Toyota,Yaris,1.4,Petrol,2018,29430,23890
Toyota,RAV4,2.0,Hybrid,2010,9960,34180
VW,Golf,1.6,Diesel,2016,47655,22149
Toyota,Yaris,1.0,Petrol,2017,34489,18343
Toyota,RAV4,2.4,Hybrid,2014,48980,39091
Toyota,RAV4,1.8,Hybrid,2016,34826,42131
Toyota,Prius,1.0,Hybrid,2000,97921,6067
Ford,Mondeo,1.8,Diesel,2015,53898,24935
VW,Golf,1.8,Petrol,1985,120980,1698
VW,Golf,1.2,Petrol,1991,111639,2221
VW,Passat,1.4,Petrol,1991,142718,2346
VW,Golf,2.0,Petrol,2006,103968,8256
Ford,Mondeo,1.6,Diesel,2003,77607,9036
VW,Passat,2.0,Petrol,2006,144471,7517
Ford,Focus,1.6,Petrol,2007,93365,10152
BMW,Z4,2.4,Petrol,2002,103018,9166
Toyota,Prius,1.4,Hybrid,1991,298087,696
Ford,Focus,1.0,Diesel,1996,126372,3160
Ford,Mondeo,1.4,Hybrid,2001,172817,4045
Toyota,Yaris,1.0,Hybrid,2021,5191,33757
Ford,Fiesta,1.0,Petrol,1995,149788,1610
VW,Golf,1.8,Petrol,1998,168097,2761
VW,Polo,1.4,Diesel,2017,40070,19543
Porsche,718 Cayman,2.4,Petrol,2005,137933,10351
Toyota,Prius,1.8,Hybrid,2019,16367,48581
BMW,Z4,3.0,Petrol,1999,182733,4419
Toyota,Prius,1.8,Hybrid,1994,224830,1908
Toyota,Prius,1.0,Hybrid,2007,44735,13818
Ford,Mondeo,2.0,Hybrid,1991,242102,1342
Ford,Fiesta,1.4,Petrol,1994,61219,3430
Toyota,Yaris,1.4,Hybrid,2013,97627,13165
BMW,X3,3.0,Diesel,2011,84740,23478
Ford,Focus,1.8,Petrol,1990,172140,1863
VW,Passat,1.8,Diesel,2014,65293,22899
Ford,Fiesta,1.0,Petrol,1998,201856,1262
Ford,Focus,1.4,Petrol,2009,81100,11832
Toyota,RAV4,2.2,Hybrid,2006,132344,12150
Ford,Focus,1.4,Diesel,2018,32401,30879
VW,Golf,1.2,Petrol,2003,132590,4206
VW,Passat,2.0,Diesel,2007,70087,14663
Ford,Focus,1.0,Diesel,2016,29607,23211
VW,Golf,2.0,Diesel,2020,14562,39133
VW,Golf,2.0,Diesel,2004,104520,7556
Ford,Fiesta,1.0,Petrol,2019,24968,19117
Ford,Mondeo,1.8,Diesel,1992,344755,450
Ford,Fiesta,1.4,Petrol,1998,198771,1534
Ford,Mondeo,1.4,Petrol,2006,81578,9567
BMW,Z4,2.0,Petrol,1986,46784,4216
Toyota,Yaris,1.0,Petrol,2006,129137,4581
Ford,Fiesta,1.4,Diesel,2010,51170,11156
Ford,Mondeo,1.4,Diesel,1989,264616,698
VW,Passat,1.8,Diesel,2002,82580,9153
VW,Polo,1.0,Petrol,2019,24380,19685
VW,Golf,1.8,Diesel,1991,301201,543
VW,Golf,1.8,Hybrid,2014,38186,24884
Ford,Mondeo,1.6,Diesel,1989,193951,1417
Toyota,Prius,1.8,Hybrid,2008,45436,19733
Toyota,Prius,1.8,Hybrid,2013,84861,21256
Ford,Focus,1.4,Diesel,1992,124942,2896
